no,user,appliance_type,items,quantities,rating
29,user365,home,"DOUBLE COT,OVEN","1,4",9
30,user84,office,"CAMERA,COMPUTER,CALCULATOR,SHREDDER","4,3,1,3",9
31,user102,home,DRESSING TABLE,1,3
32,user189,office,"MARKER,COMPUTER","4,4",7
33,user378,home,"SHOW CASE,TELEVISION","3,2",4
34,user359,home,"DRESSING TABLE,TELEVISION,BLENDER","4,2,3",2
35,user86,home,TELEVISION,4,7
36,user450,office,LAZER PRINTER,2,5
37,user419,home,"REFRIGERATOR,KITCHEN SET","2,3",9
38,user368,home,"BLENDER,DOUBLE COT,TELEVISION","1,2,3",5
39,user391,home,KITCHEN SET,3,3
40,user93,home,"REFRIGERATOR,DOUBLE COT,TOASTER","2,3,2",6
41,user309,home,"WASHING MACHINE,KITCHEN SET,VACCUM CLEANER","2,3,3",6
42,user296,office,"LAZER PRINTER,COMPUTER,WAITING LOUNGE","1,2,2",7
43,user322,home,"SHOW CASE,BLENDER","3,4",3
44,user495,office,"WAITING LOUNGE,MARKER,CAMERA,COFFEE MACHINE","2,3,4,1",9
45,user82,home,KITCHEN SET,2,3
46,user401,office,PAPER CLIP,4,6
47,user370,office,"SECURITY LOCK,CAMERA,MARKER,WAITING LOUNGE","1,4,2,4",2
48,user211,office,"COFFEE MACHINE,WAITING LOUNGE,MARKER,LAZER PRINTER","1,1,2,3",9
49,user56,home,"KITCHEN SET,WASHING MACHINE","2,4",2
50,user216,office,"MARKER,SHREDDER","2,3",4
51,user96,home,"SHOW CASE,OVEN,REFRIGERATOR,TOASTER","3,3,1,1",2
52,user252,home,"DOUBLE COT,TELEVISION,KITCHEN SET","1,2,4",7
53,user464,home,"VACCUM CLEANER,KITCHEN SET,TELEVISION,OVEN","3,2,3,3",7
54,user82,home,"REFRIGERATOR,OVEN,DOUBLE COT,DRESSING TABLE","1,3,1,1",6
55,user326,office,SECURITY LOCK,1,5
56,user130,office,"PAPER CLIP,COMPUTER,COFFEE MACHINE,LAZER PRINTER","3,3,4,1",1
57,user473,office,"SHREDDER,LAZER PRINTER,SECURITY LOCK","2,1,4",7
58,user125,office,SHREDDER,3,6
59,user15,home,"KITCHEN SET,WASHING MACHINE,REFRIGERATOR,SHOW CASE","2,1,4,2",4
60,user142,office,"LAZER PRINTER,MARKER,COFFEE MACHINE","3,1,2",5
61,user302,home,"VACCUM CLEANER,REFRIGERATOR,KITCHEN SET","2,1,4",9
62,user41,home,"OVEN,VACCUM CLEANER,DRESSING TABLE,REFRIGERATOR","1,3,3,1",2
63,user165,office,SECURITY LOCK,3,8
64,user118,office,"WAITING LOUNGE,SECURITY LOCK,SHREDDER","3,2,4",1
65,user65,home,VACCUM CLEANER,3,8
66,user445,office,"COMPUTER,MARKER","2,1",6
67,user33,home,"WASHING MACHINE,KITCHEN SET","2,3",10
68,user114,home,"DRESSING TABLE,BLENDER,OVEN","3,4,1",1
69,user279,home,"TOASTER,DOUBLE COT,KITCHEN SET","3,3,4",2
70,user187,office,"SHREDDER,CALCULATOR","4,3",9
71,user437,home,DISH WASHER,1,2
72,user408,office,"PAPER CLIP,SHREDDER,LAZER PRINTER,COFFEE MACHINE","3,3,1,3",9
73,user162,office,"SECURITY LOCK,PAPER CLIP,CAMERA,COMPUTER","2,2,3,4",6
74,user391,office,"WAITING LOUNGE,MARKER,SHREDDER,COFFEE MACHINE","3,1,2,3",8
75,user265,office,"CALCULATOR,SECURITY LOCK,COFFEE MACHINE,PAPER CLIP","2,2,3,3",4
76,user427,office,"SHREDDER,SECURITY LOCK,LAZER PRINTER,CAMERA","1,2,4,4",9
77,user124,home,DISH WASHER,3,1
78,user31,office,"COFFEE MACHINE,CALCULATOR,LAZER PRINTER,SECURITY LOCK","3,1,3,4",4
79,user156,office,"CALCULATOR,SECURITY LOCK,COFFEE MACHINE","1,1,3",10
80,user482,home,DOUBLE COT,2,4
81,user460,home,DRESSING TABLE,4,5
82,user39,office,SHREDDER,4,9
83,user19,office,"LAZER PRINTER,WAITING LOUNGE,MARKER","2,3,3",9
84,user167,home,"KITCHEN SET,WASHING MACHINE,OVEN,DOUBLE COT","3,2,2,2",9
85,user25,office,COFFEE MACHINE,3,9
86,user500,office,"SECURITY LOCK,WAITING LOUNGE","3,3",10
87,user21,home,"DISH WASHER,DOUBLE COT,KITCHEN SET,SHOW CASE","1,3,3,3",5
88,user86,office,COMPUTER,1,8
89,user95,office,"WAITING LOUNGE,SECURITY LOCK","2,4",2
90,user247,office,"COFFEE MACHINE,CALCULATOR,SHREDDER,WAITING LOUNGE","3,3,4,4",3
91,user385,office,"MARKER,WAITING LOUNGE,SECURITY LOCK,CALCULATOR","3,2,3,2",6
92,user272,office,COFFEE MACHINE,3,9
93,user334,home,"SHOW CASE,OVEN","4,2",10
94,user316,office,"SECURITY LOCK,COFFEE MACHINE,SHREDDER","3,1,3",5
95,user5,home,TOASTER,2,9
96,user458,office,"CAMERA,CALCULATOR,WAITING LOUNGE,SECURITY LOCK","1,1,3,3",4
97,user264,office,"COMPUTER,MARKER,CAMERA,PAPER CLIP","2,2,3,1",8
98,user472,home,"DRESSING TABLE,VACCUM CLEANER,DISH WASHER","3,2,3",3
99,user124,home,DOUBLE COT,4,5
100,user422,office,"WAITING LOUNGE,SECURITY LOCK","4,4",10
101,user440,home,"OVEN,KITCHEN SET,DISH WASHER,DRESSING TABLE","3,3,1,3",6
102,user330,home,VACCUM CLEANER,3,8
103,user39,home,TOASTER,4,10
104,user1,office,"MARKER,SECURITY LOCK,COFFEE MACHINE","1,3,3",10
105,user218,home,"DOUBLE COT,OVEN","3,2",6
106,user305,office,"CAMERA,COFFEE MACHINE","2,2",10
107,user468,home,BLENDER,3,8
108,user461,office,"COFFEE MACHINE,CAMERA","3,1",5
109,user376,office,"COFFEE MACHINE,MARKER","2,4",8
110,user94,home,"OVEN,VACCUM CLEANER,KITCHEN SET","4,3,4",3
111,user377,home,"TOASTER,KITCHEN SET,OVEN","4,4,2",10
112,user406,office,"SECURITY LOCK,SHREDDER,MARKER","2,4,4",5
113,user25,office,SHREDDER,4,2
114,user2,office,"SHREDDER,CAMERA","1,1",1
115,user310,office,"WAITING LOUNGE,CAMERA,COMPUTER,CALCULATOR","2,4,2,2",1
116,user31,office,"CAMERA,COMPUTER,CALCULATOR","1,3,4",4
117,user446,home,"REFRIGERATOR,SHOW CASE,OVEN,KITCHEN SET","4,2,1,1",6
118,user201,office,"CALCULATOR,PAPER CLIP,CAMERA,SECURITY LOCK","1,1,4,2",4
119,user448,home,DRESSING TABLE,2,8
120,user383,home,"BLENDER,VACCUM CLEANER,TELEVISION,WASHING MACHINE","2,2,4,2",9
121,user301,home,"DRESSING TABLE,VACCUM CLEANER,SHOW CASE","1,4,2",1
122,user242,home,"KITCHEN SET,TOASTER,OVEN","4,3,2",4
123,user177,office,"SHREDDER,PAPER CLIP,COFFEE MACHINE","4,3,2",7
124,user488,home,"DRESSING TABLE,OVEN","1,2",2
125,user421,home,"SHOW CASE,DOUBLE COT","2,4",8
126,user106,office,"SECURITY LOCK,WAITING LOUNGE,LAZER PRINTER","2,3,2",5
127,user365,home,"SHOW CASE,VACCUM CLEANER,KITCHEN SET","4,2,2",10
128,user380,office,"LAZER PRINTER,SHREDDER","2,4",1
129,user281,office,"COMPUTER,COFFEE MACHINE","3,2",5
130,user283,home,"TOASTER,VACCUM CLEANER,SHOW CASE","2,3,2",3
131,user178,office,CALCULATOR,3,8
132,user377,office,COMPUTER,3,5
133,user14,home,OVEN,2,3
134,user275,home,"TELEVISION,WASHING MACHINE,REFRIGERATOR,KITCHEN SET","4,3,2,4",7
135,user219,home,"BLENDER,TOASTER","4,2",9
136,user177,home,"DRESSING TABLE,KITCHEN SET,REFRIGERATOR,DOUBLE COT","1,1,4,2",5
137,user361,home,"REFRIGERATOR,TOASTER","3,2",1
138,user167,office,"COFFEE MACHINE,SECURITY LOCK,COMPUTER,WAITING LOUNGE","2,1,2,2",1
139,user379,home,OVEN,1,9
140,user350,office,PAPER CLIP,2,9
141,user415,home,"BLENDER,REFRIGERATOR,TELEVISION,WASHING MACHINE","2,3,4,3",6
142,user459,office,"PAPER CLIP,WAITING LOUNGE,CAMERA","3,2,2",3
143,user106,home,"TELEVISION,TOASTER","1,2",1
144,user80,home,"REFRIGERATOR,DISH WASHER,WASHING MACHINE,SHOW CASE","3,2,3,1",5
145,user52,home,"VACCUM CLEANER,TELEVISION","3,2",7
146,user256,office,"SECURITY LOCK,COFFEE MACHINE","4,2",4
147,user331,home,KITCHEN SET,3,9
148,user364,office,"SECURITY LOCK,CALCULATOR","2,2",3
149,user40,home,"DISH WASHER,WASHING MACHINE,SHOW CASE","4,1,3",8
150,user81,home,"DOUBLE COT,OVEN,VACCUM CLEANER","2,4,2",6
151,user113,office,"CALCULATOR,LAZER PRINTER,SECURITY LOCK,SHREDDER","2,2,2,4",3
152,user67,office,COMPUTER,1,8
153,user241,home,"TOASTER,DISH WASHER,REFRIGERATOR","4,1,1",5
154,user414,home,"WASHING MACHINE,TELEVISION","2,3",1
155,user89,home,"WASHING MACHINE,BLENDER,DISH WASHER,KITCHEN SET","3,1,3,1",2
156,user498,office,"LAZER PRINTER,CAMERA","2,2",2
157,user28,home,KITCHEN SET,4,2
158,user14,office,"CAMERA,SECURITY LOCK","4,4",10
159,user282,office,"CAMERA,SHREDDER,COFFEE MACHINE","2,4,4",10
160,user285,office,SHREDDER,3,6
161,user7,home,TOASTER,4,4
162,user441,home,"WASHING MACHINE,DOUBLE COT,DRESSING TABLE","2,2,4",10
163,user360,home,"WASHING MACHINE,REFRIGERATOR","2,4",4
164,user410,office,SECURITY LOCK,2,4
165,user291,office,"MARKER,SHREDDER","4,4",8
166,user321,office,SECURITY LOCK,3,6
167,user277,office,WAITING LOUNGE,4,1
168,user23,home,OVEN,4,3
169,user234,home,"OVEN,SHOW CASE","4,3",5
170,user22,home,"KITCHEN SET,DISH WASHER,SHOW CASE,DOUBLE COT","3,3,2,1",2
171,user294,office,"MARKER,LAZER PRINTER,CAMERA,SECURITY LOCK","3,4,2,1",5
172,user216,office,"MARKER,CAMERA","3,2",5
173,user444,home,"OVEN,KITCHEN SET,TELEVISION","4,2,4",6
174,user346,office,"MARKER,LAZER PRINTER,SHREDDER","1,3,1",2
175,user371,home,KITCHEN SET,1,5
176,user119,home,SHOW CASE,2,2
177,user419,office,"COMPUTER,WAITING LOUNGE,SHREDDER,SECURITY LOCK","2,4,2,3",4
178,user59,home,"WASHING MACHINE,DRESSING TABLE,OVEN,SHOW CASE","1,3,1,1",2
179,user190,home,"DISH WASHER,DRESSING TABLE,OVEN","2,2,2",5
180,user439,office,CAMERA,2,7
181,user475,home,"TOASTER,KITCHEN SET,REFRIGERATOR","1,4,4",1
182,user187,office,"LAZER PRINTER,COFFEE MACHINE","3,1",9
183,user134,office,"PAPER CLIP,CAMERA","1,1",8
184,user454,office,"MARKER,SECURITY LOCK,SHREDDER","4,1,2",8
185,user324,home,"DRESSING TABLE,DOUBLE COT,BLENDER,SHOW CASE","1,4,1,1",7
186,user242,home,"OVEN,DOUBLE COT,BLENDER,TOASTER","4,3,3,1",6
187,user499,office,"CAMERA,CALCULATOR,COMPUTER,COFFEE MACHINE","1,4,4,3",8
188,user368,office,"COMPUTER,LAZER PRINTER,CAMERA","4,4,4",7
189,user30,office,"CAMERA,MARKER","1,1",9
190,user444,home,"DRESSING TABLE,TOASTER,SHOW CASE,WASHING MACHINE","3,3,3,3",8
191,user258,office,"MARKER,PAPER CLIP,LAZER PRINTER","3,2,1",8
192,user334,home,"OVEN,TELEVISION","2,1",2
193,user283,home,"TELEVISION,KITCHEN SET","1,2",1
194,user273,office,MARKER,4,5
195,user347,office,"COMPUTER,CALCULATOR,WAITING LOUNGE","3,3,4",4
196,user319,office,"LAZER PRINTER,CALCULATOR,CAMERA","2,1,3",6
197,user179,office,"LAZER PRINTER,CALCULATOR,MARKER","1,1,2",8
198,user378,home,"DOUBLE COT,BLENDER,OVEN","2,3,2",3
199,user433,office,COFFEE MACHINE,2,2
200,user448,home,"KITCHEN SET,OVEN,DRESSING TABLE","3,2,2",6
201,user96,home,DISH WASHER,2,3
202,user84,office,"SECURITY LOCK,CAMERA","4,2",7
203,user425,home,"REFRIGERATOR,BLENDER","2,4",4
204,user122,office,"SECURITY LOCK,CALCULATOR","2,1",1
205,user78,office,"MARKER,CAMERA,WAITING LOUNGE","2,2,2",2
206,user347,office,"COMPUTER,PAPER CLIP,MARKER","1,3,2",5
207,user429,office,"LAZER PRINTER,CAMERA,PAPER CLIP","4,1,1",8
208,user362,office,"SECURITY LOCK,CAMERA,WAITING LOUNGE","2,1,1",2
209,user297,home,"SHOW CASE,VACCUM CLEANER,DOUBLE COT,KITCHEN SET","1,1,3,2",6
210,user6,office,"LAZER PRINTER,MARKER","1,1",1
211,user5,office,CAMERA,2,3
212,user119,office,"WAITING LOUNGE,MARKER,SHREDDER","1,3,3",4
213,user155,office,"LAZER PRINTER,COMPUTER,PAPER CLIP","2,4,2",2
214,user166,home,"OVEN,SHOW CASE,REFRIGERATOR,DRESSING TABLE","1,4,3,4",6
215,user344,office,"SECURITY LOCK,CAMERA","3,1",7
216,user221,office,"MARKER,CALCULATOR","1,3",8
217,user157,home,BLENDER,1,9
218,user246,home,"WASHING MACHINE,DRESSING TABLE,REFRIGERATOR,OVEN","2,2,1,4",1
219,user400,home,"TELEVISION,REFRIGERATOR,WASHING MACHINE","1,4,1",7
220,user152,home,"WASHING MACHINE,DOUBLE COT,KITCHEN SET,VACCUM CLEANER","3,4,4,4",8
221,user349,home,"VACCUM CLEANER,DRESSING TABLE,DISH WASHER","2,3,1",5
222,user53,office,"SECURITY LOCK,CAMERA,PAPER CLIP,MARKER","3,4,1,4",9
223,user216,office,"WAITING LOUNGE,CAMERA","1,2",3
224,user233,home,TELEVISION,1,2
225,user106,home,REFRIGERATOR,1,2
226,user489,office,"PAPER CLIP,SHREDDER","4,1",1
227,user136,home,VACCUM CLEANER,4,8
228,user175,home,"WASHING MACHINE,TOASTER,BLENDER,DRESSING TABLE","1,1,4,1",10
229,user467,home,"OVEN,DOUBLE COT,WASHING MACHINE","3,2,2",8
230,user159,office,"WAITING LOUNGE,COFFEE MACHINE,SECURITY LOCK","4,3,2",10
231,user36,home,TELEVISION,3,5
232,user247,home,"DRESSING TABLE,SHOW CASE,WASHING MACHINE,REFRIGERATOR","1,4,2,3",2
233,user70,office,SHREDDER,4,3
234,user453,office,"PAPER CLIP,WAITING LOUNGE,SECURITY LOCK","4,3,3",7
235,user472,office,COMPUTER,3,2
236,user464,home,"VACCUM CLEANER,BLENDER","4,1",2
237,user223,home,"TOASTER,VACCUM CLEANER","2,1",9
238,user355,home,"BLENDER,KITCHEN SET,DRESSING TABLE","3,3,1",4
239,user278,home,BLENDER,4,2
240,user394,home,"DRESSING TABLE,KITCHEN SET","3,1",7
241,user293,home,"DISH WASHER,OVEN,BLENDER,DRESSING TABLE","4,4,3,4",9
242,user41,home,SHOW CASE,4,3
243,user432,home,"WASHING MACHINE,VACCUM CLEANER,DISH WASHER","3,2,3",4
244,user328,home,WASHING MACHINE,3,4
245,user130,home,KITCHEN SET,1,1
246,user134,office,"PAPER CLIP,COMPUTER,CAMERA","2,3,2",5
247,user103,office,"MARKER,CAMERA","2,1",7
248,user396,office,"MARKER,LAZER PRINTER","1,2",5
249,user397,office,"WAITING LOUNGE,CAMERA,SHREDDER,SECURITY LOCK","2,1,2,3",1
250,user313,home,"TELEVISION,KITCHEN SET,DOUBLE COT","2,2,2",4
251,user480,home,"KITCHEN SET,TELEVISION","3,4",10
252,user210,home,"KITCHEN SET,DRESSING TABLE,DOUBLE COT,BLENDER","1,1,1,4",6
253,user338,office,"COFFEE MACHINE,COMPUTER,SECURITY LOCK","1,3,4",9
254,user426,office,"LAZER PRINTER,CAMERA,COFFEE MACHINE","3,3,4",4
255,user53,home,"DISH WASHER,VACCUM CLEANER,OVEN,DOUBLE COT","3,1,4,1",1
256,user186,home,TELEVISION,2,4
257,user133,office,"CALCULATOR,SHREDDER","3,4",8
258,user292,office,LAZER PRINTER,3,8
259,user191,office,"COMPUTER,WAITING LOUNGE,SHREDDER","4,2,1",7
260,user493,home,"DOUBLE COT,REFRIGERATOR,DISH WASHER,WASHING MACHINE","4,2,1,3",8
261,user498,office,COFFEE MACHINE,1,5
262,user302,home,"DRESSING TABLE,OVEN,BLENDER","1,2,3",6
263,user400,office,"LAZER PRINTER,SECURITY LOCK,SHREDDER,PAPER CLIP","3,1,3,2",4
264,user384,office,"CAMERA,PAPER CLIP,SHREDDER","2,1,4",4
265,user365,home,OVEN,1,4
266,user93,home,"KITCHEN SET,WASHING MACHINE,REFRIGERATOR","1,2,1",10
267,user262,home,"DOUBLE COT,BLENDER,KITCHEN SET","2,4,1",2
268,user96,office,"CALCULATOR,COMPUTER","2,2",6
269,user167,office,"COFFEE MACHINE,MARKER,SHREDDER","3,1,4",10
270,user102,home,"REFRIGERATOR,TOASTER","2,2",2
271,user170,home,"DISH WASHER,REFRIGERATOR,TOASTER","3,1,2",9
272,user102,home,"VACCUM CLEANER,DOUBLE COT,REFRIGERATOR","1,4,2",2
273,user322,office,"LAZER PRINTER,MARKER,COMPUTER,CALCULATOR","1,1,2,1",8
274,user351,home,"KITCHEN SET,SHOW CASE,VACCUM CLEANER","3,3,1",4
275,user419,office,"CALCULATOR,SECURITY LOCK","3,1",7
276,user128,office,"CALCULATOR,SHREDDER","1,4",5
277,user417,office,"WAITING LOUNGE,SHREDDER","3,1",3
278,user6,office,"SECURITY LOCK,WAITING LOUNGE,PAPER CLIP","1,1,4",6
279,user475,home,"VACCUM CLEANER,DOUBLE COT","2,1",9
280,user446,office,PAPER CLIP,4,1
281,user33,home,"DRESSING TABLE,TELEVISION","2,2",4
282,user483,office,"SHREDDER,COFFEE MACHINE","1,3",2
283,user287,office,"WAITING LOUNGE,COMPUTER,SECURITY LOCK,MARKER","3,1,3,3",7
284,user59,office,"COFFEE MACHINE,COMPUTER","2,4",6
285,user153,home,"REFRIGERATOR,SHOW CASE","2,1",1
286,user310,office,"COMPUTER,LAZER PRINTER,MARKER,CAMERA","4,1,2,3",3
287,user447,home,"SHOW CASE,REFRIGERATOR,OVEN,TELEVISION","1,3,1,3",10
288,user79,home,"DRESSING TABLE,OVEN","2,4",6
289,user89,home,"TELEVISION,WASHING MACHINE","3,3",9
290,user86,office,"COFFEE MACHINE,CALCULATOR","2,2",2
291,user360,home,"WASHING MACHINE,SHOW CASE,KITCHEN SET,TOASTER","4,4,2,2",9
292,user230,office,"CALCULATOR,SECURITY LOCK,CAMERA","1,2,1",5
293,user245,home,"KITCHEN SET,DOUBLE COT","4,2",2
294,user368,office,"COFFEE MACHINE,PAPER CLIP","3,2",6
295,user362,office,"CAMERA,SHREDDER,CALCULATOR","2,2,2",5
296,user118,home,"SHOW CASE,OVEN,DISH WASHER,REFRIGERATOR","4,4,1,2",5
297,user176,office,"COFFEE MACHINE,PAPER CLIP,MARKER","4,4,2",8
298,user375,office,"PAPER CLIP,MARKER,COMPUTER","2,3,1",7
299,user179,home,"TELEVISION,DOUBLE COT,DISH WASHER","3,2,2",7
300,user11,home,DISH WASHER,2,6
301,user197,office,"CALCULATOR,SECURITY LOCK,COMPUTER,PAPER CLIP","3,4,2,3",3
302,user67,home,OVEN,4,1
303,user480,home,"BLENDER,TELEVISION,KITCHEN SET","4,3,4",10
304,user460,home,"TOASTER,BLENDER","3,2",4
305,user120,home,"DISH WASHER,VACCUM CLEANER,KITCHEN SET,REFRIGERATOR","4,3,4,2",7
306,user194,home,TOASTER,4,1
307,user419,office,MARKER,3,5
308,user244,office,COFFEE MACHINE,1,1
309,user55,home,DRESSING TABLE,2,8
310,user183,home,TELEVISION,3,3
311,user371,office,"CAMERA,WAITING LOUNGE,COMPUTER,CALCULATOR","3,2,1,4",8
312,user490,home,"BLENDER,TELEVISION,VACCUM CLEANER","4,4,2",5
313,user227,office,"LAZER PRINTER,CALCULATOR,COFFEE MACHINE,COMPUTER","4,1,1,1",1
314,user317,office,MARKER,1,6
315,user249,office,"COFFEE MACHINE,PAPER CLIP","1,4",4
316,user469,home,"TOASTER,OVEN,DRESSING TABLE,TELEVISION","3,1,3,2",4
317,user78,office,"SECURITY LOCK,CALCULATOR,LAZER PRINTER,COFFEE MACHINE","2,4,4,3",8
318,user51,office,"CAMERA,SHREDDER","3,3",8
319,user219,home,SHOW CASE,4,5
320,user357,office,"COFFEE MACHINE,SHREDDER","2,4",4
321,user474,office,"PAPER CLIP,LAZER PRINTER","4,1",5
322,user228,office,"PAPER CLIP,MARKER,CALCULATOR,SHREDDER","4,1,3,4",5
323,user370,home,DOUBLE COT,3,1
324,user316,home,"VACCUM CLEANER,TELEVISION,REFRIGERATOR","3,1,1",9
325,user179,office,"CAMERA,SECURITY LOCK","2,4",1
326,user455,home,"DOUBLE COT,TOASTER,BLENDER,DRESSING TABLE","1,1,2,3",1
327,user392,home,"KITCHEN SET,WASHING MACHINE,REFRIGERATOR,BLENDER","3,1,4,4",5
328,user144,home,"WASHING MACHINE,DOUBLE COT,DRESSING TABLE","1,3,2",6
329,user297,home,"TOASTER,DISH WASHER,BLENDER","1,1,4",5
330,user264,office,COFFEE MACHINE,1,5
331,user479,office,"MARKER,PAPER CLIP,CAMERA","4,4,4",2
332,user106,office,"LAZER PRINTER,SHREDDER,COMPUTER,PAPER CLIP","4,1,4,1",1
333,user98,office,SECURITY LOCK,4,4
334,user155,home,"DISH WASHER,WASHING MACHINE,REFRIGERATOR,BLENDER","4,2,1,2",2
335,user238,office,CALCULATOR,3,4
336,user458,office,"CALCULATOR,WAITING LOUNGE","3,4",5
337,user30,office,LAZER PRINTER,1,2
338,user288,home,DOUBLE COT,3,7
339,user469,office,"LAZER PRINTER,WAITING LOUNGE,SECURITY LOCK,MARKER","4,1,2,3",4
340,user212,home,"SHOW CASE,TOASTER,REFRIGERATOR","1,2,2",5
341,user459,office,"MARKER,CALCULATOR,COFFEE MACHINE","4,4,1",1
342,user334,office,"COMPUTER,CAMERA,SHREDDER,CALCULATOR","1,2,3,1",8
343,user468,office,"PAPER CLIP,CAMERA,SECURITY LOCK,MARKER","4,1,3,3",7
344,user97,office,"SHREDDER,SECURITY LOCK","2,3",2
345,user315,office,"LAZER PRINTER,COFFEE MACHINE,COMPUTER,SHREDDER","2,1,4,2",2
346,user68,home,"DRESSING TABLE,KITCHEN SET,BLENDER","3,4,3",9
347,user99,home,"SHOW CASE,DISH WASHER,DOUBLE COT","3,1,3",1
348,user90,home,"REFRIGERATOR,BLENDER,TOASTER,DISH WASHER","3,2,3,1",1
349,user88,home,"REFRIGERATOR,DISH WASHER,TOASTER","4,4,2",10
350,user174,office,CAMERA,3,8
351,user104,home,"DISH WASHER,TOASTER,BLENDER,TELEVISION","4,1,2,4",1
352,user319,home,KITCHEN SET,3,8
353,user479,home,"WASHING MACHINE,REFRIGERATOR,DRESSING TABLE,DOUBLE COT","3,4,2,3",10
354,user274,home,TOASTER,3,10
355,user384,home,"DISH WASHER,VACCUM CLEANER","4,2",1
356,user3,home,"VACCUM CLEANER,REFRIGERATOR,TOASTER,BLENDER","4,1,4,3",1
357,user139,home,"BLENDER,TELEVISION,WASHING MACHINE","1,1,2",8
358,user81,home,VACCUM CLEANER,4,10
359,user384,home,"REFRIGERATOR,VACCUM CLEANER,DRESSING TABLE","3,2,2",7
360,user384,office,"MARKER,SECURITY LOCK,SHREDDER,COMPUTER","1,3,2,3",4
361,user190,home,"SHOW CASE,DRESSING TABLE","4,2",7
362,user500,office,"CALCULATOR,COMPUTER,MARKER,PAPER CLIP","4,3,1,3",4
363,user240,home,"TELEVISION,VACCUM CLEANER","4,3",2
364,user46,office,CALCULATOR,2,6
365,user70,home,"VACCUM CLEANER,WASHING MACHINE,TELEVISION","2,2,1",8
366,user409,home,WASHING MACHINE,4,7
367,user340,home,"VACCUM CLEANER,REFRIGERATOR,TELEVISION","3,4,4",1
368,user47,office,"CAMERA,WAITING LOUNGE","2,1",3
369,user421,home,TELEVISION,1,2
370,user94,office,"WAITING LOUNGE,MARKER,COMPUTER","4,3,4",4
371,user205,office,"SHREDDER,PAPER CLIP,CAMERA,COFFEE MACHINE","3,2,3,4",1
372,user350,home,"TOASTER,WASHING MACHINE,DISH WASHER","3,4,4",10
373,user415,home,"WASHING MACHINE,REFRIGERATOR","2,2",3
374,user183,home,BLENDER,2,3
375,user134,home,"BLENDER,WASHING MACHINE,KITCHEN SET","1,2,4",4
376,user342,home,"DRESSING TABLE,OVEN","4,2",5
377,user426,office,"CAMERA,SECURITY LOCK","1,3",4
378,user62,office,"CALCULATOR,WAITING LOUNGE,LAZER PRINTER","2,3,4",10
379,user181,office,"WAITING LOUNGE,MARKER,SECURITY LOCK","4,4,3",8
380,user244,office,"SHREDDER,SECURITY LOCK,CALCULATOR","3,1,4",5
381,user359,home,"TELEVISION,KITCHEN SET","3,4",4
382,user233,office,COFFEE MACHINE,2,10
383,user287,office,"COFFEE MACHINE,WAITING LOUNGE","1,4",7
384,user424,home,"DOUBLE COT,DISH WASHER,SHOW CASE,OVEN","3,3,1,4",4
385,user305,home,"REFRIGERATOR,DOUBLE COT,SHOW CASE,DISH WASHER","1,2,3,4",7
386,user348,home,"SHOW CASE,WASHING MACHINE,DOUBLE COT,BLENDER","3,3,3,3",1
387,user482,office,CALCULATOR,3,5
388,user267,home,WASHING MACHINE,4,8
389,user445,home,TELEVISION,1,7
390,user429,office,"SHREDDER,WAITING LOUNGE","4,3",7
391,user267,office,"COFFEE MACHINE,PAPER CLIP,LAZER PRINTER","4,3,1",10
392,user500,office,"COMPUTER,CAMERA,MARKER","2,2,4",9
